"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2013-01-01 00:00:00",98.89291
"2013-02-01 00:00:00",99.0117
"2013-03-01 00:00:00",99.1219
"2013-04-01 00:00:00",99.22903
"2013-05-01 00:00:00",99.37544
"2013-06-01 00:00:00",99.50378
"2013-07-01 00:00:00",99.60763
"2013-08-01 00:00:00",99.619
"2013-09-01 00:00:00",99.5638
"2013-10-01 00:00:00",99.48917
"2013-11-01 00:00:00",99.51457
"2013-12-01 00:00:00",99.59882
"2014-01-01 00:00:00",99.65272
"2014-02-01 00:00:00",99.70026
"2014-03-01 00:00:00",99.78878
"2014-04-01 00:00:00",99.8995
"2014-05-01 00:00:00",99.95352
"2014-06-01 00:00:00",99.96555
"2014-07-01 00:00:00",99.94154
"2014-08-01 00:00:00",99.92233
"2014-09-01 00:00:00",99.93391
"2014-10-01 00:00:00",99.98793
"2014-11-01 00:00:00",100.0955
"2014-12-01 00:00:00",100.2822
"2015-01-01 00:00:00",100.4886
"2015-02-01 00:00:00",100.6249
"2015-03-01 00:00:00",100.6843
"2015-04-01 00:00:00",100.6822
"2015-05-01 00:00:00",100.6161
"2015-06-01 00:00:00",100.5644
"2015-07-01 00:00:00",100.455
"2015-08-01 00:00:00",100.365
"2015-09-01 00:00:00",100.3356
"2015-10-01 00:00:00",100.4413
"2015-11-01 00:00:00",100.5769
"2015-12-01 00:00:00",100.6225
"2016-01-01 00:00:00",100.5549
"2016-02-01 00:00:00",100.4463
"2016-03-01 00:00:00",100.3828
"2016-04-01 00:00:00",100.3874
"2016-05-01 00:00:00",100.4409
"2016-06-01 00:00:00",100.4306
"2016-07-01 00:00:00",100.3507
"2016-08-01 00:00:00",100.333
"2016-09-01 00:00:00",100.3667
"2016-10-01 00:00:00",100.402
"2016-11-01 00:00:00",100.4713
"2016-12-01 00:00:00",100.5261
"2017-01-01 00:00:00",100.5191
"2017-02-01 00:00:00",100.5443
"2017-03-01 00:00:00",100.646
"2017-04-01 00:00:00",100.7556
"2017-05-01 00:00:00",100.8283
"2017-06-01 00:00:00",100.8539
"2017-07-01 00:00:00",100.8865
"2017-08-01 00:00:00",100.9502
"2017-09-01 00:00:00",101.0254
"2017-10-01 00:00:00",101.1128
"2017-11-01 00:00:00",101.1363
"2017-12-01 00:00:00",101.127
"2018-01-01 00:00:00",101.1259
"2018-02-01 00:00:00",101.1432
"2018-03-01 00:00:00",101.1519
"2018-04-01 00:00:00",101.1398
"2018-05-01 00:00:00",101.1355
"2018-06-01 00:00:00",101.1524
"2018-07-01 00:00:00",101.177
"2018-08-01 00:00:00",101.1321
"2018-09-01 00:00:00",101.0622
"2018-10-01 00:00:00",100.9693
"2018-11-01 00:00:00",100.8621
"2018-12-01 00:00:00",100.7856
"2019-01-01 00:00:00",100.7606
"2019-02-01 00:00:00",100.8293
"2019-03-01 00:00:00",100.9087
"2019-04-01 00:00:00",100.922
"2019-05-01 00:00:00",100.8881
"2019-06-01 00:00:00",100.7915
"2019-07-01 00:00:00",100.6629
"2019-08-01 00:00:00",100.5135
"2019-09-01 00:00:00",100.4939
"2019-10-01 00:00:00",100.5663
"2019-11-01 00:00:00",100.7062
"2019-12-01 00:00:00",100.807
"2020-01-01 00:00:00",100.7349
"2020-02-01 00:00:00",100.2449
"2020-03-01 00:00:00",99.19491
"2020-04-01 00:00:00",98.07468
"2020-05-01 00:00:00",97.72494
"2020-06-01 00:00:00",97.92938
"2020-07-01 00:00:00",98.207
"2020-08-01 00:00:00",98.46245
"2020-09-01 00:00:00",98.68011
"2020-10-01 00:00:00",98.76204
"2020-11-01 00:00:00",98.77364
"2020-12-01 00:00:00",98.88771
"2021-01-01 00:00:00",99.02811
"2021-02-01 00:00:00",99.30596
"2021-03-01 00:00:00",99.71646
"2021-04-01 00:00:00",100.0428
"2021-05-01 00:00:00",100.2893
"2021-06-01 00:00:00",100.4426
"2021-07-01 00:00:00",100.3424
"2021-08-01 00:00:00",100.1029
"2021-09-01 00:00:00",99.941
"2021-10-01 00:00:00",99.75962
"2021-11-01 00:00:00",99.53249
"2021-12-01 00:00:00",99.29149
"2022-01-01 00:00:00",98.95622
"2022-02-01 00:00:00",98.49282
"2022-03-01 00:00:00",97.94978
"2022-04-01 00:00:00",97.55543
"2022-05-01 00:00:00",97.18091
"2022-06-01 00:00:00",96.80843
"2022-07-01 00:00:00",96.60779
"2022-08-01 00:00:00",96.61653
"2022-09-01 00:00:00",96.64053
"2022-10-01 00:00:00",96.73994
"2022-11-01 00:00:00",96.92147
"2022-12-01 00:00:00",97.19515
"2023-01-01 00:00:00",97.50269
"2023-02-01 00:00:00",97.74992
"2023-03-01 00:00:00",97.91487
"2023-04-01 00:00:00",98.12066
"2023-05-01 00:00:00",98.30699
"2023-06-01 00:00:00",98.48782
"2023-07-01 00:00:00",98.57301
"2023-08-01 00:00:00",98.47617
"2023-09-01 00:00:00",98.31731
"2023-10-01 00:00:00",98.21489
"2023-11-01 00:00:00",98.32293
"2023-12-01 00:00:00",98.6492
"2024-01-01 00:00:00",98.99618
"2024-02-01 00:00:00",99.18616
"2024-03-01 00:00:00",99.24619
"2024-04-01 00:00:00",99.16691
"2024-05-01 00:00:00",99.00262
"2024-06-01 00:00:00",98.85863
